Title,Sentiment,URL
San Bernardo del Viento,0.9998,https://en.wikipedia.org/wiki/San%20Bernardo%20del%20Viento
Lamentations (Ngaiire album),0.9998,https://en.wikipedia.org/wiki/Lamentations%20%28Ngaiire%20album%29
Sorga Theevu,0.9997,https://en.wikipedia.org/wiki/Sorga%20Theevu
Houghton Heights,0.9997,https://en.wikipedia.org/wiki/Houghton%20Heights
List of number-one Billboard Regional Mexican Songs of 2017,0.9997,https://en.wikipedia.org/wiki/List%20of%20number-one%20Billboard%20Regional%20Mexican%20Songs%20of%202017
Heaven on My Mind,0.9997,https://en.wikipedia.org/wiki/Heaven%20on%20My%20Mind
On Circles,0.9996,https://en.wikipedia.org/wiki/On%20Circles
Music for My Friends,0.9996,https://en.wikipedia.org/wiki/Music%20for%20My%20Friends
Sidney Poitier filmography,0.9996,https://en.wikipedia.org/wiki/Sidney%20Poitier%20filmography
Cadavéu,0.9996,https://en.wikipedia.org/wiki/Cadav%C3%A9u
Piper-Price House,0.9995,https://en.wikipedia.org/wiki/Piper-Price%20House
From Doon with Death,0.9995,https://en.wikipedia.org/wiki/From%20Doon%20with%20Death
Iceberg Island,0.9995,https://en.wikipedia.org/wiki/Iceberg%20Island
V. A. K. Ranga Rao,0.9995,https://en.wikipedia.org/wiki/V.%20A.%20K.%20Ranga%20Rao
The Connection (DeLon album),0.9995,https://en.wikipedia.org/wiki/The%20Connection%20%28DeLon%20album%29
C-Block (Chinese group),0.9995,https://en.wikipedia.org/wiki/C-Block%20%28Chinese%20group%29
Bangladesh National Film Award for Best Cinematography,0.9995,https://en.wikipedia.org/wiki/Bangladesh%20National%20Film%20Award%20for%20Best%20Cinematography
NASA Outstanding Public Leadership Medal,0.9995,https://en.wikipedia.org/wiki/NASA%20Outstanding%20Public%20Leadership%20Medal
Caspian Oil and Gas Exhibition and Conference,0.9995,https://en.wikipedia.org/wiki/Caspian%20Oil%20and%20Gas%20Exhibition%20and%20Conference
Dinosaur Hill Park,0.9994,https://en.wikipedia.org/wiki/Dinosaur%20Hill%20Park
Golden Spike Days,0.9994,https://en.wikipedia.org/wiki/Golden%20Spike%20Days
Ray Guy Award,0.9994,https://en.wikipedia.org/wiki/Ray%20Guy%20Award
Aage Kvalbein,0.9994,https://en.wikipedia.org/wiki/Aage%20Kvalbein
List of awards and nominations received by Randy Travis,0.9993,https://en.wikipedia.org/wiki/List%20of%20awards%20and%20nominations%20received%20by%20Randy%20Travis
Lukas Osele,0.9993,https://en.wikipedia.org/wiki/Lukas%20Osele
Birch (restaurant),0.9993,https://en.wikipedia.org/wiki/Birch%20%28restaurant%29
1998 Bhutan A-Division,0.9993,https://en.wikipedia.org/wiki/1998%20Bhutan%20A-Division
Man and Culture,0.9993,https://en.wikipedia.org/wiki/Man%20and%20Culture
1938 World Table Tennis Championships – Women's team,0.9993,https://en.wikipedia.org/wiki/1938%20World%20Table%20Tennis%20Championships%20%E2%80%93%20Women%27s%20team
Benazir Charles,0.9992,https://en.wikipedia.org/wiki/Benazir%20Charles
Voices from the Gathering Storm,0.9992,https://en.wikipedia.org/wiki/Voices%20from%20the%20Gathering%20Storm
Viburnum japonicum,0.9992,https://en.wikipedia.org/wiki/Viburnum%20japonicum
María José Alfonso,0.9992,https://en.wikipedia.org/wiki/Mar%C3%ADa%20Jos%C3%A9%20Alfonso
In Harmony,0.9992,https://en.wikipedia.org/wiki/In%20Harmony
The 11th Green,0.9992,https://en.wikipedia.org/wiki/The%2011th%20Green
Orchestral pop,0.9992,https://en.wikipedia.org/wiki/Orchestral%20pop
Dirty Thirty (album),0.9992,https://en.wikipedia.org/wiki/Dirty%20Thirty%20%28album%29
Avec mon mari,0.9992,https://en.wikipedia.org/wiki/Avec%20mon%20mari
Lerga,0.9991,https://en.wikipedia.org/wiki/Lerga
Kiddo (album),0.9991,https://en.wikipedia.org/wiki/Kiddo%20%28album%29
Center for NanoScience,0.9991,https://en.wikipedia.org/wiki/Center%20for%20NanoScience
Eberhard Fischer (art historian),0.9991,https://en.wikipedia.org/wiki/Eberhard%20Fischer%20%28art%20historian%29
Jody Sveistrup,0.9991,https://en.wikipedia.org/wiki/Jody%20Sveistrup
Hamad bin Khalifa Stadium,0.9991,https://en.wikipedia.org/wiki/Hamad%20bin%20Khalifa%20Stadium
Jung Jae-wook,0.999,https://en.wikipedia.org/wiki/Jung%20Jae-wook
Challenge the Wild,0.999,https://en.wikipedia.org/wiki/Challenge%20the%20Wild
Play With Me (children's book),0.999,https://en.wikipedia.org/wiki/Play%20With%20Me%20%28children%27s%20book%29
Mount Ingalls (California),0.999,https://en.wikipedia.org/wiki/Mount%20Ingalls%20%28California%29
List of number-one urban singles of 2022 (Australia),0.999,https://en.wikipedia.org/wiki/List%20of%20number-one%20urban%20singles%20of%202022%20%28Australia%29
Ciołek's Missal,0.999,https://en.wikipedia.org/wiki/Cio%C5%82ek%27s%20Missal
Giulia Mazzocchi,0.9989,https://en.wikipedia.org/wiki/Giulia%20Mazzocchi
Marco Ajmone-Marsan,0.9989,https://en.wikipedia.org/wiki/Marco%20Ajmone-Marsan
List of number-one urban singles of 2006 (Australia),0.9989,https://en.wikipedia.org/wiki/List%20of%20number-one%20urban%20singles%20of%202006%20%28Australia%29
2010–11 Australian cricket season,0.9989,https://en.wikipedia.org/wiki/2010%E2%80%9311%20Australian%20cricket%20season
Elizabeth Tunnuq,0.9989,https://en.wikipedia.org/wiki/Elizabeth%20Tunnuq
Higher (Budjerah song),0.9989,https://en.wikipedia.org/wiki/Higher%20%28Budjerah%20song%29
Vaida Pikauskaitė,0.9989,https://en.wikipedia.org/wiki/Vaida%20Pikauskait%C4%97
Armenian line dance,0.9989,https://en.wikipedia.org/wiki/Armenian%20line%20dance
36th Golden Rooster Awards,0.9989,https://en.wikipedia.org/wiki/36th%20Golden%20Rooster%20Awards
Jadwiga Kotnowska,0.9989,https://en.wikipedia.org/wiki/Jadwiga%20Kotnowska
1999 Crawley Borough Council election,0.9989,https://en.wikipedia.org/wiki/1999%20Crawley%20Borough%20Council%20election
Tony Gould (arts director),0.9989,https://en.wikipedia.org/wiki/Tony%20Gould%20%28arts%20director%29
Shivaji Mandir,0.9989,https://en.wikipedia.org/wiki/Shivaji%20Mandir
Marie Prouvensier,0.9988,https://en.wikipedia.org/wiki/Marie%20Prouvensier
Fijnschilder,0.9988,https://en.wikipedia.org/wiki/Fijnschilder
Scènes de ballet (Stravinsky),0.9988,https://en.wikipedia.org/wiki/Sc%C3%A8nes%20de%20ballet%20%28Stravinsky%29
Willson Tower,0.9988,https://en.wikipedia.org/wiki/Willson%20Tower
Orbeli,0.9988,https://en.wikipedia.org/wiki/Orbeli
Zenith (Alfie Arcuri album),0.9988,https://en.wikipedia.org/wiki/Zenith%20%28Alfie%20Arcuri%20album%29
Jamie Golden,0.9988,https://en.wikipedia.org/wiki/Jamie%20Golden
Gettysburg: The Last Invasion,0.9988,https://en.wikipedia.org/wiki/Gettysburg%3A%20The%20Last%20Invasion
Leyton Rivera,0.9988,https://en.wikipedia.org/wiki/Leyton%20Rivera
Scenes from Under Childhood,0.9987,https://en.wikipedia.org/wiki/Scenes%20from%20Under%20Childhood
National System for Integral Family Development,0.9987,https://en.wikipedia.org/wiki/National%20System%20for%20Integral%20Family%20Development
Amy Manford,0.9987,https://en.wikipedia.org/wiki/Amy%20Manford
Andreas Martin (lutenist),0.9987,https://en.wikipedia.org/wiki/Andreas%20Martin%20%28lutenist%29
The Long Road to Gettysburg,0.9986,https://en.wikipedia.org/wiki/The%20Long%20Road%20to%20Gettysburg
"Samandöken, Göle",0.9986,https://en.wikipedia.org/wiki/Samand%C3%B6ken%2C%20G%C3%B6le
Anna Kantane,0.9986,https://en.wikipedia.org/wiki/Anna%20Kantane
Thomas Lebherz,0.9986,https://en.wikipedia.org/wiki/Thomas%20Lebherz
Suomu,0.9986,https://en.wikipedia.org/wiki/Suomu
Khanlar Ahmedov,0.9986,https://en.wikipedia.org/wiki/Khanlar%20Ahmedov
2012 Arab Handball Championship of Champions,0.9986,https://en.wikipedia.org/wiki/2012%20Arab%20Handball%20Championship%20of%20Champions
1919 U.S. National Championships – Men's singles,0.9986,https://en.wikipedia.org/wiki/1919%20U.S.%20National%20Championships%20%E2%80%93%20Men%27s%20singles
Reha Erdem,0.9986,https://en.wikipedia.org/wiki/Reha%20Erdem
Taiyuan Heavy,0.9986,https://en.wikipedia.org/wiki/Taiyuan%20Heavy
Sighișoara City Hall,0.9986,https://en.wikipedia.org/wiki/Sighi%C8%99oara%20City%20Hall
