Title,Sentiment,URL
TopTen,1.0,https://en.wikipedia.org/wiki/TopTen
Gargilesse-Dampierre,1.0,https://en.wikipedia.org/wiki/Gargilesse-Dampierre
Most Outstanding Player,1.0,https://en.wikipedia.org/wiki/Most%20Outstanding%20Player
Conquerors of Armageddon,1.0,https://en.wikipedia.org/wiki/Conquerors%20of%20Armageddon
Pavee Lackeen,1.0,https://en.wikipedia.org/wiki/Pavee%20Lackeen
Stardust Award for Actor of the Year – Female,1.0,https://en.wikipedia.org/wiki/Stardust%20Award%20for%20Actor%20of%20the%20Year%20%E2%80%93%20Female
Zang Dhok Palri Phodang,1.0,https://en.wikipedia.org/wiki/Zang%20Dhok%20Palri%20Phodang
Britt Brøndsted,1.0,https://en.wikipedia.org/wiki/Britt%20Br%C3%B8ndsted
I Was Born to Love You,1.0,https://en.wikipedia.org/wiki/I%20Was%20Born%20to%20Love%20You
Seeley Lake Provincial Park,1.0,https://en.wikipedia.org/wiki/Seeley%20Lake%20Provincial%20Park
Discover Screenwriting Award 2005,1.0,https://en.wikipedia.org/wiki/Discover%20Screenwriting%20Award%202005
Filmfare Award for Best Male Playback Singer,0.999,https://en.wikipedia.org/wiki/Filmfare%20Award%20for%20Best%20Male%20Playback%20Singer
Ole Kristian Ruud,0.999,https://en.wikipedia.org/wiki/Ole%20Kristian%20Ruud
Robert de Joly,0.999,https://en.wikipedia.org/wiki/Robert%20de%20Joly
John Glenister,0.999,https://en.wikipedia.org/wiki/John%20Glenister
Alpine skiing at the 2006 Winter Olympics – Women's giant slalom,0.999,https://en.wikipedia.org/wiki/Alpine%20skiing%20at%20the%202006%20Winter%20Olympics%20%E2%80%93%20Women%27s%20giant%20slalom
Long Èireannach,0.999,https://en.wikipedia.org/wiki/Long%20%C3%88ireannach
Ålhus,0.999,https://en.wikipedia.org/wiki/%C3%85lhus
Question and Answer (album),0.999,https://en.wikipedia.org/wiki/Question%20and%20Answer%20%28album%29
Zulfiqar Ali (Kenyan cricketer),0.999,https://en.wikipedia.org/wiki/Zulfiqar%20Ali%20%28Kenyan%20cricketer%29
Zee Cine Award for Best Director,0.999,https://en.wikipedia.org/wiki/Zee%20Cine%20Award%20for%20Best%20Director
